"n_cells","expected_reads_per_cell","power_bam","power_fastq","power_umi"
418,9184,0.43517767896226,0.435572916745645,0.253091146523624
418,18373,0.444844356328142,0.501957729883592,0.345812749269482
418,27553,0.467284319777369,0.542580284982584,0.398993191415645
418,36739,0.476374646967557,0.555119086572414,0.420909823354047
418,45927,0.479563009773273,0.563532873500827,0.436941726941416
418,55111,0.466151738530707,0.573896959811255,0.46519229837227
418,64294,0.488770818394081,0.575136317754636,0.501094588979391
418,73479,0.486586624854242,0.570112965637693,0.526923173087905
418,82665,0.462220717645763,0.574657403920247,0.535154279560319
418,91848,0.475040107465706,0.590591123585731,0.538784722450269
835,9217,0.505368969295897,0.57462353622078,0.307013609212816
835,18436,0.533973747380746,0.647082579100724,0.428042145618168
835,27649,0.559965596117086,0.677792197810228,0.512315822564665
835,36866,0.569279665908854,0.676845330190333,0.555121640274771
835,46083,0.570049774301683,0.678933858102535,0.579554563421221
835,55298,0.574390609804815,0.69019833330653,0.610507876419984
835,64511,0.574294158069221,0.694181756757265,0.649129151934445
835,73728,0.575922938060835,0.690828099683623,0.676518894613998
835,82943,0.577938728118046,0.694683835789201,0.680395090088965
835,92158,0.578442527125052,0.703767434417784,0.671068598540665
1253,9238,0.567906257442363,0.672153116862854,0.329018484208051
1253,18478,0.617695737510387,0.739643615462799,0.473397692531615
1253,27716,0.634484441090753,0.763724149029368,0.587613102161711
1253,36953,0.643424320008603,0.761858977848923,0.651196088698758
1253,46190,0.648588225670022,0.764546721521854,0.681769390593451
1253,55428,0.652371014548744,0.775188631770969,0.709993049400767
1253,64663,0.652333133514904,0.780506541457192,0.74580412044587
1253,73901,0.636316979624767,0.780411743781299,0.774860852281527
1253,83138,0.657354992159286,0.784339086934686,0.782979029264091
1253,92375,0.65525641615431,0.788298795946459,0.773811573925952
1670,9211,0.602456933930795,0.709242505344697,0.337357464743665
1670,18424,0.658725160494463,0.767412296500271,0.492795446853247
1670,27634,0.686001929483315,0.795791149756383,0.618277272358486
1670,36846,0.690589341952047,0.806378517000956,0.687767717154077
1670,46056,0.700938866131634,0.814574706053053,0.719242553069626
1670,55265,0.706935540811056,0.821630964073287,0.744912779050843
1670,64475,0.705976562576577,0.82408290512596,0.776654049458974
1670,73688,0.709566073209054,0.824551902143317,0.805191323481214
1670,82899,0.712047648287828,0.827537295942983,0.82115124142823
1670,92110,0.712637887544037,0.831050913652516,0.825422171980096
2088,9203,0.631799202188973,0.721599296645393,0.347874054649483
2088,18409,0.702124518588651,0.775941330237707,0.508041870895982
2088,27613,0.724137739762104,0.811675333022875,0.632066835023195
2088,36816,0.740885698392141,0.831815247070491,0.6982573824191
2088,46019,0.743729746531768,0.84160445618014,0.731640086014657
2088,55221,0.753854189009298,0.844893160184626,0.761383896147831
2088,64425,0.758734589174033,0.846707978461828,0.791538499440277
2088,73630,0.75804697021701,0.849250860412622,0.81518067209959
2088,82833,0.762666784786162,0.851724702096451,0.833591427036036
2088,92037,0.762826329173386,0.855162851310857,0.850531207144438
2506,9224,0.655399928313368,0.736933825241114,0.361888288501001
2506,18451,0.735122722663213,0.794919927035591,0.52874706507679
2506,27676,0.76767014697313,0.834033504223164,0.651874165005587
2506,36900,0.782661027174318,0.853249550225153,0.714052918969129
2506,46124,0.788585423151819,0.860003108893945,0.750856879752591
2506,55350,0.797699436804003,0.863514692926981,0.78930190579013
2506,64574,0.801738528829275,0.869472050359083,0.821646566379479
2506,73800,0.802703706453531,0.87538206853896,0.839556580542221
2506,83025,0.805647312996093,0.87745633490294,0.85492401512555
2506,92250,0.805103158177106,0.879161489961202,0.876196427203273
2923,9228,0.679223662873655,0.74942494084281,0.374528303732902
2923,18458,0.770947973644899,0.813844199468702,0.550569346968489
2923,27687,0.803442693157656,0.855420618982626,0.675709812617171
2923,36915,0.821329850437186,0.871462323605453,0.731472981593644
2923,46143,0.83198844879221,0.876922873066971,0.765728880498124
2923,55372,0.835878410805444,0.884101179208796,0.809968334325442
2923,64601,0.84324497448678,0.892745148852577,0.847373257036472
2923,73830,0.848166459257759,0.896905397921916,0.864321937610249
2923,83057,0.850239930353996,0.896809367534013,0.878211843750543
2923,92286,0.850821005217369,0.898694944378216,0.901140054256184
3341,9209,0.700806728819377,0.750850410422347,0.384952424670259
3341,18420,0.79381563413618,0.820572001803517,0.56774718208532
3341,27629,0.836592118331954,0.867088649297461,0.693924670099176
3341,36839,0.857155582584723,0.883659830061702,0.740239141450689
3341,46047,0.866726680814855,0.890275523724544,0.76535592855897
3341,55258,0.876106762083434,0.899981581792403,0.809704373801677
3341,64467,0.879666962542912,0.906690306309182,0.852285081197577
3341,73679,0.886794470790299,0.905032353801724,0.872527517593879
3341,82888,0.888570276319458,0.903252525234769,0.888424732650332
3341,92098,0.890009048383272,0.909634741304306,0.915367728096027
3758,9187,0.717545229146825,0.750258886345767,0.395742890204231
3758,18375,0.818912834216475,0.822195449248858,0.577627082053671
3758,27562,0.861172797779534,0.872811469614811,0.70307972033949
3758,36749,0.884341719100319,0.890736921499721,0.745784063926556
3758,45935,0.898065621797162,0.897091458818474,0.766044757781508
3758,55122,0.911749698229046,0.906198466282523,0.808610783678787
3758,64310,0.916582471718721,0.911177511916035,0.853447156746092
3758,73497,0.923487499935321,0.908422368513232,0.876755449487092
3758,82684,0.927506264610358,0.909293880203606,0.894695833508478
3758,91871,0.928615226590661,0.920936572911676,0.925122159166657
4176,9179,0.733810799841071,0.757844359030347,0.409437417297413
4176,18358,0.837992209897666,0.825861197967761,0.577834326128314
4176,27537,0.882110647916956,0.875591887549723,0.699456002511123
4176,36715,0.912171629215232,0.895271837794086,0.751059634761702
4176,45893,0.926657999744075,0.902127780846713,0.779039211318525
4176,55072,0.940070655609137,0.910275886417243,0.821015469283607
4176,64251,0.949695215396153,0.916664879747991,0.864284732017648
4176,73430,0.957213496584298,0.919197642247901,0.890342391527164
4176,82609,0.964809903618353,0.925423881954634,0.911166324621693
4176,92375,1,1,1
